	0
0	So there is no way for me to plug it in here in the US unless I go by a converter.
1	Good case, Excellent value.
2	Great for the jawbone.
3	Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
4	The mic is great.
5	I have to jiggle the plug to get it to line up right to get decent volume.
6	If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.
7	If you are Razr owner...you must have this!
8	Needless to say, I wasted my money.
9	What a waste of money and time!.
10	And the sound quality is great.
11	He was very impressed when going from the original battery to the extended battery.
12	If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
13	Very good quality though
14	"The design is very odd, as the ear ""clip"" is not very comfortable at all."
15	Highly recommend for any one who has a blue tooth phone.
16	I advise EVERYONE DO NOT BE FOOLED!
17	So Far So Good!.
18	Works great!.
19	It clicks into place in a way that makes you wonder how long that mechanism would last.
20	I went on Motorola's website and followed all directions, but could not get it to pair again.
21	I bought this to use with my Kindle Fire and absolutely loved it!
22	The commercials are the most misleading.
23	I have yet to run this new battery below two bars and that's three days without charging.
24	I bought it for my mother and she had a problem with the battery.
25	Great Pocket PC / phone combination.
26	I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.
27	I didn't think that the instructions provided were helpful to me.
28	People couldnt hear me talk and I had to pull out the earphone and talk on the phone.
29	Doesn't hold charge.
30	This is a simple little phone to use, but the breakage is unacceptible.
31	This product is ideal for people like me whose ears are very sensitive.
32	It is unusable in a moving car at freeway speed.
33	I have two more years left in this contract and I hate this phone.
34	Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended
35	You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.
36	It has kept up very well.
37	Poor Talk Time Performance.
38	The case is great and works fine with the 680.
39	worthless product.
40	It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.
41	I was not impressed by this product.
42	Nice headset priced right.
43	I only hear garbage for audio.
44	Excellent bluetooth headset.
45	It has all the features I want
46	Who in their right mind is gonna buy this battery?.
47	AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.
48	This case seems well made.
49	Disappointed with battery.
50	Not loud enough and doesn't turn on like it should.
51	good protection and does not make phone too bulky.
52	A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.
53	This phone is pretty sturdy and I've never had any large problems with it.
54	I love this thing!
55	Everything about it is fine and reasonable for the price i.e.
56	VERY DISAPPOINTED.
57	I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!
58	I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.
59	The buttons for on and off are bad.
60	Essentially you can forget Microsoft's tech support.
61	I really recommend this faceplates since it looks very nice, elegant and cool.
62	These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.
63	Buy a different phone - but not this.
